"","KSDistance","rSigmaMean","rIntSEMod","rSigmaSD","scn"
"50351",0.3953,0.46,4,0.22,"High"
"51151",0.7737,0.46,5.5,0.22,"High"
"51951",0.5603,0.46,7,0.22,"High"
"52751",0.7753,0.575,1,0.22,"High"
"53551",0.3396,0.575,2.5,0.22,"High"
"54351",0.6932,0.575,4,0.22,"High"
"55151",0.8668,0.575,5.5,0.22,"High"
"55951",0.2728,0.575,7,0.22,"High"
"56751",0.5244,0.69,1,0.22,"High"
"57551",0.466,0.69,2.5,0.22,"High"
"58351",0.3607,0.69,4,0.22,"High"
"59151",0.3409,0.69,5.5,0.22,"High"
"59951",0.3298,0.69,7,0.22,"High"
"60751",0.6168,0.23,1,0.26,"High"
"61551",0.3641,0.23,2.5,0.26,"High"
"62351",0.2756,0.23,4,0.26,"High"
"63151",0.6728,0.23,5.5,0.26,"High"
"63951",0.6265,0.23,7,0.26,"High"
"64751",0.1716,0.345,1,0.26,"High"
"65551",0.5294,0.345,2.5,0.26,"High"
"66351",0.8455,0.345,4,0.26,"High"
"67151",0.4763,0.345,5.5,0.26,"High"
"67951",0.6775,0.345,7,0.26,"High"
"68751",0.6536,0.46,1,0.26,"High"
"69551",0.7912,0.46,2.5,0.26,"High"
"70351",0.5296,0.46,4,0.26,"High"
"71151",0.4491,0.46,5.5,0.26,"High"
"71951",0.34,0.46,7,0.26,"High"
"72751",0.3721,0.575,1,0.26,"High"
"73551",0.5686,0.575,2.5,0.26,"High"
"74351",0.3365,0.575,4,0.26,"High"
"75151",0.2801,0.575,5.5,0.26,"High"
"75951",0.3241,0.575,7,0.26,"High"
"76751",0.4211,0.69,1,0.26,"High"
"77551",0.8802,0.69,2.5,0.26,"High"
"78351",0.3404,0.69,4,0.26,"High"
"79151",0.3942,0.69,5.5,0.26,"High"
"79951",0.8886,0.69,7,0.26,"High"
