"obsYears","collarCount","cowMult","collarInterval","assessmentYrs","tA","obsAnthroSlope","projAnthroSlope","rep","interannualVar","sQuantile","rQuantile","preYears","iAnthro","projYears","repBatch","N0","qMax","uMax","zMax","pageLab","pageId"
8,20,6,1,1,0,0,1,5,"list(R_CV=0.46,S_CV=0.087)",0.933009664611891,0.0833414730802178,16,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
16,20,6,1,1,0,0,1,5,"list(R_CV=0.46,S_CV=0.087)",0.933009664611891,0.0833414730802178,8,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
24,20,6,1,1,0,0,1,5,"list(R_CV=0.46,S_CV=0.087)",0.933009664611891,0.0833414730802178,0,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
2,60,6,1,1,0,0,1,5,"list(R_CV=0.46,S_CV=0.087)",0.933009664611891,0.0833414730802178,22,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
4,60,6,1,1,0,0,1,5,"list(R_CV=0.46,S_CV=0.087)",0.933009664611891,0.0833414730802178,20,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
8,60,6,1,1,0,0,1,5,"list(R_CV=0.46,S_CV=0.087)",0.933009664611891,0.0833414730802178,16,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
16,60,6,1,1,0,0,1,5,"list(R_CV=0.46,S_CV=0.087)",0.933009664611891,0.0833414730802178,8,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
24,60,6,1,1,0,0,1,5,"list(R_CV=0.46,S_CV=0.087)",0.933009664611891,0.0833414730802178,0,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
2,20,6,1,1,20,1,1,5,"list(R_CV=0.46,S_CV=0.087)",0.261449811072089,0.359824704746716,22,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
4,20,6,1,1,20,1,1,5,"list(R_CV=0.46,S_CV=0.087)",0.261449811072089,0.359824704746716,20,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
